Istanta,Cost Total,Pasi,Timp,Status
small_instance_01_simple,9384,6,0.0,Solved
small_instance_02_simple,5788,3,0.0,Solved
small_instance_03_simple,5230,6,0.0,Solved
small_instance_04_simple,11213,6,0.0,Solved
small_instance_05_simple,11474,5,0.0,Solved
small_instance_06_simple,10632,5,0.0,Solved
small_instance_07_simple,5718,4,0.0,Solved
small_instance_08_simple,9408,5,0.0,Solved
small_instance_09_simple,2851,5,0.0,Solved
small_instance_10_simple,7048,3,0.001,Solved
small_instance_11_simple,8005,5,0.0,Solved
small_instance_12_simple,6273,5,0.0,Solved
small_instance_13_simple,8386,5,0.0,Solved
small_instance_14_simple,10037,6,0.0,Solved
small_instance_15_simple,9827,4,0.0,Solved
small_instance_16_simple,10693,5,0.0,Solved
small_instance_17_simple,9514,5,0.0,Solved
small_instance_18_simple,10637,4,0.0,Solved
small_instance_19_simple,7284,3,0.0,Solved
small_instance_20_simple,9607,5,0.0,Solved
small_instance_21_simple,14058,5,0.0,Solved
small_instance_22_simple,13123,6,0.0,Solved
small_instance_23_simple,3937,5,0.0,Solved
small_instance_24_simple,12922,6,0.0,Solved
small_instance_25_simple,7897,5,0.0,Solved
medium_instance_01_simple,44339,31,0.0,Solved
medium_instance_02_simple,44842,29,0.0,Solved
medium_instance_03_simple,35447,23,0.0,Solved
medium_instance_04_simple,41382,45,0.001,Solved
medium_instance_05_simple,39349,26,0.0,Solved
medium_instance_06_simple,43470,30,0.0,Solved
medium_instance_07_simple,35448,42,0.0,Solved
medium_instance_08_simple,44587,25,0.0,Solved
medium_instance_09_simple,31565,33,0.0,Solved
medium_instance_10_simple,39273,25,0.0,Solved
medium_instance_11_simple,44262,28,0.0,Solved
medium_instance_12_simple,42419,32,0.0,Solved
medium_instance_13_simple,39355,35,0.001,Solved
medium_instance_14_simple,48288,35,0.0,Solved
medium_instance_15_simple,47045,31,0.0,Solved
medium_instance_16_simple,39046,37,0.0,Solved
medium_instance_17_simple,32738,29,0.0,Solved
medium_instance_18_simple,46183,28,0.0,Solved
medium_instance_19_simple,52157,25,0.0,Solved
medium_instance_20_simple,33370,29,0.0,Solved
medium_instance_21_simple,33232,32,0.0,Solved
medium_instance_22_simple,42588,28,0.0,Solved
medium_instance_23_simple,39077,33,0.0,Solved
medium_instance_24_simple,30576,29,0.0,Solved
medium_instance_25_simple,33152,34,0.0,Solved
large_instance_01_simple,59472,162,0.0,Solved
large_instance_02_simple,67461,132,0.0,Solved
large_instance_03_simple,59476,159,0.0,Solved
large_instance_04_simple,62003,156,0.001,Solved
large_instance_05_simple,54905,148,0.0,Solved
large_instance_06_simple,64079,146,0.001,Solved
large_instance_07_simple,67020,146,0.0,Solved
large_instance_08_simple,53292,142,0.0,Solved
large_instance_09_simple,65978,127,0.0,Solved
large_instance_10_simple,55597,155,0.0,Solved
large_instance_11_simple,60371,149,0.0,Solved
large_instance_12_simple,64020,146,0.0,Solved
large_instance_13_simple,57488,163,0.0,Solved
large_instance_14_simple,68580,154,0.001,Solved
large_instance_15_simple,72537,155,0.0,Solved
large_instance_16_simple,68480,162,0.001,Solved
large_instance_17_simple,56461,156,0.0,Solved
large_instance_18_simple,83588,154,0.0,Solved
large_instance_19_simple,51103,162,0.0,Solved
large_instance_20_simple,59865,131,0.0,Solved
large_instance_21_simple,61560,149,0.0,Solved
large_instance_22_simple,49561,126,0.0,Solved
large_instance_23_simple,66038,140,0.001,Solved
large_instance_24_simple,61048,147,0.0,Solved
large_instance_25_simple,59503,151,0.0,Solved
